GEOID10,INTPTLAT10,INTPTLON10,SECTION
42101017601,+39.9939260,-075.1343448,FrankfordKennsington
42101008301,+39.9577810,-075.2467384,SouthWest
42101008400,+39.9579899,-075.2354681,SouthWest
42101008500,+39.9568821,-075.2265389,SouthWest
42101009000,+39.9595116,-075.1906245,SouthWest
42101009100,+39.9594179,-075.1977245,SouthWest
42101009200,+39.9601608,-075.2074723,SouthWest
42101009400,+39.9632709,-075.2322437,SouthWest
42101009500,+39.9658709,-075.2379140,SouthWest
42101009600,+39.9655396,-075.2435075,SouthWest
42101013800,+39.9764504,-075.1771771,CenterCity
42101013900,+39.9750563,-075.1711846,CenterCity
42101014000,+39.9735358,-075.1630966,CenterCity
42101014100,+39.9708771,-075.1524555,FrankfordKennsington
42101014200,+39.9652375,-075.1359612,FrankfordKennsington
42101014300,+39.9671225,-075.1265617,FrankfordKennsington
42101014400,+39.9722286,-075.1400952,FrankfordKennsington
42101014500,+39.9760715,-075.1484189,FrankfordKennsington
42101014600,+39.9764305,-075.1546990,CenterCity
42101014700,+39.9785489,-075.1620244,CenterCity
42101014800,+39.9802047,-075.1691610,CenterCity
42101014900,+39.9816503,-075.1804029,CenterCity
42101015200,+39.9854546,-075.1700491,CenterCity
42101015300,+39.9837644,-075.1608849,CenterCity
42101015600,+39.9790066,-075.1418910,FrankfordKennsington
42101019000,+40.0095015,-075.0986136,FrankfordKennsington
42101019100,+40.0095510,-075.1071820,FrankfordKennsington
42101019200,+40.0006393,-075.1150648,FrankfordKennsington
42101019700,+40.0162799,-075.1379372,FrankfordKennsington
42101019800,+40.0107245,-075.1421472,FrankfordKennsington
42101019900,+40.0048515,-075.1435463,FrankfordKennsington
42101020000,+40.0025289,-075.1508995,FrankfordKennsington
42101020200,+40.0081282,-075.1621609,NorthWest
42101020300,+40.0125820,-075.1495922,FrankfordKennsington
42101020400,+40.0198216,-075.1525117,NorthWest
42101020500,+40.0158738,-075.1643607,NorthWest
42101020600,+40.0198000,-075.1827740,NorthWest
42101001300,+39.9445258,-075.1862050,SouthPhilly
42101001400,+39.9429436,-075.1715930,SouthPhilly
42101001500,+39.9419037,-075.1591158,SouthPhilly
42101001600,+39.9402546,-075.1483127,SouthPhilly
42101001700,+39.9377593,-075.1483114,SouthPhilly
42101001800,+39.9399998,-075.1593091,SouthPhilly
42101001900,+39.9400454,-075.1722270,SouthPhilly
42101002000,+39.9381416,-075.1843145,SouthPhilly
42101002100,+39.9372214,-075.1768955,SouthPhilly
