GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101011500,1609,1228,72,62,290,156,199,133,261,54,390,21,16,381,127,127,100,85,58,41,16,0,45,0,35,0
42101011700,337,273,2,2,10,10,39,18,81,15,123,7,18,64,28,28,10,4,0,0,0,0,0,0,26,0
42101011800,2218,1582,246,234,346,135,211,68,240,27,500,0,39,636,69,0,72,72,100,45,164,48,34,0,35,162
42101011900,2101,1148,308,308,231,58,199,58,143,15,214,0,53,953,257,239,260,221,172,55,86,0,22,0,108,48
42101012000,689,305,20,16,22,14,35,13,65,5,163,17,0,384,91,91,66,66,74,55,60,0,24,0,64,5
42101012100,1216,432,105,105,62,15,37,5,64,24,164,8,0,784,306,229,166,166,116,95,60,27,52,0,42,42
42101012201,2106,0,0,0,0,0,0,0,0,0,0,0,0,2106,923,684,225,197,128,100,185,19,309,0,296,40
42101012203,644,11,0,0,0,0,0,0,0,0,0,0,11,633,247,247,111,93,110,20,61,13,72,0,32,0
42101012204,1797,936,200,200,69,40,160,80,128,9,358,37,21,861,282,197,147,83,69,20,173,32,78,0,69,43
42101012500,2912,393,31,22,0,0,53,21,34,0,275,32,0,2519,319,283,321,287,278,207,533,340,938,47,92,38
42101013100,694,218,13,13,29,27,15,8,11,6,150,12,0,476,167,82,120,67,77,21,53,12,53,0,0,6
42101013200,985,211,34,34,37,24,13,13,60,4,67,0,0,774,454,270,63,24,174,125,54,0,5,0,4,20
42101013300,1482,237,0,0,18,18,11,0,55,14,153,16,0,1245,282,282,199,199,196,97,222,55,292,20,38,16
42101013401,1449,904,120,120,65,56,111,54,89,51,519,66,0,545,27,27,51,43,68,43,93,0,289,25,0,17
42101013402,1424,561,0,0,67,25,24,0,53,37,417,29,0,863,158,128,115,105,88,54,164,64,310,0,0,28
42101013500,1397,705,80,37,31,17,92,18,118,69,378,25,6,692,106,79,131,115,204,81,140,37,111,15,0,0
42101013601,1326,956,41,41,35,16,42,0,156,59,673,45,9,370,22,22,34,34,20,20,87,32,190,0,0,17
42101013602,1801,1087,68,68,97,43,40,23,175,23,707,56,0,714,140,140,77,59,75,67,173,20,218,0,0,31
42101013700,1840,1034,313,243,167,64,120,14,108,0,287,23,39,806,240,240,236,104,133,62,18,14,113,0,0,66
42101013800,845,302,116,72,62,8,6,0,51,10,64,0,3,543,228,141,86,57,48,45,90,0,56,0,9,26
42101013900,1112,132,58,58,0,0,9,9,11,11,54,0,0,980,582,361,95,28,44,12,63,0,104,0,62,30
42101014000,1121,235,41,41,14,0,28,12,67,0,73,0,12,886,388,327,190,107,67,7,49,8,75,0,60,57
42101014100,925,174,50,50,0,0,33,22,35,16,56,0,0,751,427,257,161,69,63,22,42,0,11,0,10,37
42101014200,1930,708,68,48,40,11,88,18,96,48,416,10,0,1222,96,96,71,71,121,88,286,110,609,76,29,10
42101014300,722,502,55,49,86,45,38,6,90,12,233,8,0,220,43,43,27,21,64,3,52,20,27,11,0,7
42101014400,1149,533,150,89,33,17,29,8,171,63,150,6,0,616,216,124,86,56,100,74,80,5,103,0,0,31
42101014500,641,217,22,22,21,13,36,24,92,22,46,0,0,424,240,183,41,3,57,6,50,0,9,0,10,17
